concept_id,gene_name
hgnc:6236,KCNC4
hgnc:6231,KCNB1
hgnc:19697,KCNG4
hgnc:3661,FGA
hgnc:6148,ITGAL
hgnc:9844,RAMP2
hgnc:6278,KCNK3
hgnc:6277,KCNK2
hgnc:6239,KCND3
hgnc:6218,KCNA1
hgnc:6297,KCNQ3
hgnc:6298,KCNQ4
hgnc:6224,KCNA5
hgnc:6233,KCNC1
hgnc:6232,KCNB2
hgnc:6235,KCNC3
hgnc:18861,KCNV1
hgnc:6254,KCNH5
hgnc:18306,KCNG3
hgnc:6300,KCNS1
hgnc:6302,KCNS3
hgnc:6248,KCNG1
hgnc:6249,KCNG2
hgnc:6018,IL6
hgnc:18862,KCNH6
hgnc:6246,KCNF1
hgnc:6237,KCND1
hgnc:6301,KCNS2
hgnc:6253,KCNH4
hgnc:3553,FAAH
hgnc:6554,LEPR
hgnc:3537,F2R
hgnc:273,PARP3
hgnc:2649,CYP51A1
hgnc:1047,BHMT
hgnc:4456,GPD2
hgnc:4502,PTGDR2
hgnc:6027,CXCR2
hgnc:4849,HCRTR2
hgnc:8977,PIK3CD
hgnc:16882,HCN4
hgnc:270,PARP1
hgnc:1633,CD19
hgnc:1048,BHMT2
hgnc:6263,KCNJ2
hgnc:20001,PCSK9
hgnc:6016,IL5
hgnc:1667,CD38
hgnc:21394,SLAMF7
hgnc:5960,IKBKB
hgnc:11491,SYK
hgnc:11391,AURKC
hgnc:6876,MAPK14
hgnc:8816,PDPK1
hgnc:23613,SLCO6A1
hgnc:10252,ROCK2
hgnc:10251,ROCK1
hgnc:19310,PIM3
hgnc:1779,CDK8
hgnc:1729,CDK11B
hgnc:21420,CDK20
hgnc:8987,PIM2
hgnc:8749,CDK16
hgnc:8751,CDK18
hgnc:19338,CDK19
hgnc:8883,CDK14
hgnc:1770,CDK10
hgnc:8976,PIK3CB
